IDLink,slot0,slot1
1,-0.08333333333333333,0.8055555555555556
2,-0.08333333333333333,0.0
3,7.472222222222222,22.930555555555557
4,-0.5416666666666666,0.6388888888888888
5,-0.625,0.0
6,25.51388888888889,47.44444444444444
7,-0.041666666666666664,0.0
8,-0.3333333333333333,0.0
9,0.0,1.0
10,0.3333333333333333,2.0
11,-0.375,0.0
12,0.6527777777777778,2.888888888888889
13,0.0,1.0
14,-0.125,0.0
15,-1.0,1.9166666666666667
16,-1.0,2.888888888888889
17,-0.3333333333333333,0.0
18,0.4166666666666667,1.0
19,0.5833333333333334,2.236111111111111
20,1.625,2.0
21,-0.3333333333333333,0.0
22,-0.2916666666666667,0.0
24,17.63888888888889,20.0
25,-1.0,6.777777777777778
26,-0.20833333333333334,0.0
27,-0.4166666666666667,0.0
28,-1.0,-0.027777777777777776
29,-0.25,0.0
30,-0.7083333333333334,0.0
31,-1.0,-1.0
32,0.3611111111111111,1.0
33,-1.0,-0.027777777777777776
34,-0.5,0.0
35,10.73611111111111,19.430555555555557
36,0.16666666666666666,1.5694444444444444
37,8.597222222222221,11.5
38,-1.0,6.333333333333333
39,-1.0,-0.027777777777777776
40,-0.7083333333333334,0.0
41,2.986111111111111,5.444444444444445
42,-1.0,4.972222222222222
43,-0.75,0.0
44,-0.6666666666666666,0.0
45,-0.041666666666666664,0.0
46,-0.7083333333333334,0.0
47,-0.4583333333333333,0.0
48,-0.08333333333333333,0.0
49,-0.16666666666666666,0.0
50,-1.0,-1.0
51,-1.0,-1.0
52,-0.5,0.0
53,-0.5416666666666666,0.0
55,-0.2916666666666667,0.0
56,-0.08333333333333333,1.0
57,-1.0,-1.0
58,-0.4166666666666667,2.6805555555555554
59,-1.0,-1.0
60,-0.041666666666666664,0.0
61,-1.0,-1.0
62,-0.5833333333333334,0.0
63,-0.4166666666666667,1.0
64,-1.0,6.458333333333333
65,-0.25,0.0
66,-0.375,0.0
67,-0.027777777777777776,0.0
68,2.3194444444444446,4.319444444444445
71,-0.7083333333333334,0.0
73,-0.125,0.0
74,-1.0,0.9444444444444444
75,-1.0,-0.027777777777777776
76,-1.0,-1.0
77,2.75,9.916666666666666
79,-0.041666666666666664,0.0
81,-1.0,0.9444444444444444
82,2.75,5.0
83,-0.8333333333333334,0.0
84,0.2361111111111111,1.0
85,-0.5,0.0
87,-1.0,3.861111111111111
88,-0.5833333333333334,0.0
89,-0.5,1.0
90,-0.08333333333333333,1.0
91,-0.25,2.763888888888889
92,-0.16666666666666666,9.430555555555555
98,-0.2916666666666667,0.0
99,-1.0,-1.0
100,-0.8333333333333334,1.0
201,-1.0,-0.16666666666666666
202,-0.875,0.0
203,-1.0,-0.6388888888888888
204,-0.75,0.0
207,-1.0,-0.6666666666666666
208,-0.8472222222222222,0.0
209,-1.0,-0.4861111111111111
214,-0.875,2.138888888888889
225,-0.6527777777777778,0.0
227,-1.0,-0.7777777777777778
232,-1.0,-0.3194444444444444
236,-0.9027777777777778,0.0
240,-1.0,-0.08333333333333333
241,-1.0,0.0
243,-0.6944444444444444,0.0
252,-1.0,-0.7916666666666666
272,-1.0,-0.375
280,-0.6527777777777778,0.0
292,-1.0,0.5833333333333334
294,-1.0,-0.4861111111111111
396,-0.041666666666666664,0.0
403,-1.0,-1.0
405,-0.375,0.0
406,-0.013888888888888888,0.0
409,1.8472222222222223,4.0
410,-0.375,0.0
411,0.3888888888888889,4.027777777777778
412,-0.25,0.2361111111111111
413,-0.027777777777777776,0.0
417,-0.08333333333333333,0.0
431,-0.027777777777777776,0.0
433,-0.875,0.0
434,-0.013888888888888888,0.0
435,-0.4583333333333333,0.0
440,1.25,2.0
441,0.0,0.0
442,-0.041666666666666664,0.0
443,-0.5833333333333334,0.0
444,-0.4583333333333333,0.0
445,1.6527777777777777,3.0
449,-1.0,-0.1527777777777778
450,-0.75,2.0
451,-0.6666666666666666,0.0
452,-0.625,0.0
453,5.388888888888889,9.0
460,-0.013888888888888888,0.0
461,-0.027777777777777776,0.0
462,0.16666666666666666,1.875
463,-0.041666666666666664,0.0
467,3.3472222222222223,7.0
471,-0.3333333333333333,0.0
472,3.4722222222222223,10.23611111111111
474,-0.013888888888888888,0.0
477,0.0,0.0
478,-0.3333333333333333,0.0
479,-0.041666666666666664,0.0
482,-0.08333333333333333,0.0
488,-1.0,-1.0
489,-0.05555555555555555,0.0
492,-0.027777777777777776,0.0
495,-0.3611111111111111,0.0
497,-0.375,0.0
498,3.3194444444444446,6.0
499,-1.0,1.7777777777777777
500,-0.041666666666666664,0.0
501,0.0,0.0
502,-1.0,-0.2777777777777778
503,-0.08333333333333333,0.0
504,-0.125,0.0
505,0.4166666666666667,2.125
506,-0.013888888888888888,0.0
508,-0.5416666666666666,0.0
512,-0.027777777777777776,0.0
514,0.0,0.0
515,-0.6666666666666666,0.0
516,-0.013888888888888888,0.0
517,-0.027777777777777776,0.0
520,2.9166666666666665,6.583333333333333
521,-1.0,4.5
526,1.4861111111111112,3.0
529,-0.013888888888888888,0.0
530,0.0,0.0
531,0.0,0.0
534,-0.013888888888888888,0.0
535,-0.041666666666666664,0.0
537,-0.3472222222222222,0.0
538,-0.3472222222222222,0.0
539,-0.4027777777777778,4.0
540,39.15277777777778,55.0
