UserID,similarity
1,0.9999999999999997
49,0.22243900400189917
223,0.2099640358140961
66,0.20995149728967638
72,0.20916913466229062
89,0.20859540009149433
150,0.20684663537932269
48,0.20654783401759275
30,0.2054600480680778
169,0.2052170878960892
190,0.20484965900826435
119,0.20456521448735454
88,0.20454672185112993
137,0.20443482708145924
113,0.20422507352604885
47,0.20411575772321028
245,0.20406586064896484
82,0.2038408568569578
204,0.20374695343839178
80,0.20337659045613238
123,0.20290278888734664
411,0.20284695761314292
38,0.2028389722527628
379,0.202797707322222
98,0.2027866497148805
184,0.20278227987917397
65,0.20258516165281842
54,0.2024255031643719
95,0.20239887944638346
144,0.20236317232469786
678,0.20233520924071605
56,0.20226850257937443
178,0.202226617275116
67,0.2021231183248458
229,0.2020967107318052
155,0.20200513254274782
120,0.20197927220604886
60,0.2019324056325292
272,0.2019304681642375
314,0.20190571323337858
136,0.20189687594157016
52,0.2018868956120693
746,0.20184993240437205
637,0.2018222602730382
676,0.20175586030640044
305,0.20173736990338512
132,0.20171531657430888
349,0.20168089690517993
148,0.20166863958214573
102,0.20166570896285058
429,0.2016121746120172
237,0.20161049121150487
157,0.20157960836778036
639,0.20149268879629914
583,0.20138937401626958
424,0.20134338732126084
127,0.20134156463481048
24,0.20129815121885514
300,0.20128492198904915
531,0.20128465070200094
198,0.20128409172028883
301,0.20128270085721303
1207,0.2012775538715782
425,0.20127349187472238
182,0.2012593591518643
258,0.20125179246422312
327,0.20124817620866264
698,0.20122444601126088
1017,0.20121689863199174
179,0.20114756964570005
409,0.201138443210404
147,0.20112112408788654
378,0.20108552010294684
517,0.20105963620292333
713,0.20105212670045233
749,0.2010457878803464
246,0.20102405493463857
482,0.20100728291820952
176,0.20099941823522965
401,0.2009881315234976
339,0.20098707727510984
1311,0.20094841633070032
281,0.20093777811104924
613,0.20093597353643547
558,0.20092799651348608
337,0.2009210764066664
646,0.20091698073716832
357,0.20089536106846143
765,0.2008822120264115
934,0.2008800738748212
1087,0.20087889453430935
333,0.20087731801973288
