IDLink,slot0,slot1
1,8.527777777777779,12.25
2,16.333333333333332,41.15277777777778
3,24.875,92.43055555555556
4,1.5833333333333333,5.555555555555555
5,7.833333333333333,32.166666666666664
6,66.40277777777777,129.66666666666666
7,6.944444444444445,12.680555555555555
8,-0.3611111111111111,0.0
9,4.569444444444445,12.166666666666666
10,16.48611111111111,129.08333333333334
11,0.7916666666666666,2.0
12,1.7361111111111112,10.916666666666666
13,8.875,23.125
14,-0.1527777777777778,0.0
15,-1.0,113.875
16,-1.0,7.5
17,0.2777777777777778,1.0
18,6.625,11.847222222222221
19,448.8888888888889,650.9444444444445
20,14.666666666666666,18.5
21,0.9166666666666666,2.0
22,0.4722222222222222,2.0
24,82.13888888888889,95.0
25,-1.0,28.125
26,1.5555555555555556,4.0
27,-0.4444444444444444,0.0
28,-1.0,1.8333333333333333
29,-0.2777777777777778,0.0
30,2.361111111111111,12.0
31,-1.0,-1.0
32,70.95833333333333,133.63888888888889
33,-1.0,10.333333333333334
34,-0.5277777777777778,0.0
35,30.166666666666668,60.18055555555556
36,60.125,142.91666666666666
37,66.08333333333333,115.27777777777777
38,-1.0,17.65277777777778
39,-1.0,4.666666666666667
40,-0.7361111111111112,0.0
41,1.7916666666666667,2.0
42,-1.0,61.791666666666664
43,3.0,19.583333333333332
44,1.3472222222222223,7.0
45,-0.06944444444444445,0.0
46,2.0972222222222223,11.791666666666666
47,2.0833333333333335,5.0
48,3.4166666666666665,7.375
49,1.875,4.486111111111111
50,-1.0,-1.0
51,-1.0,-1.0
52,-0.05555555555555555,1.0
53,-0.5694444444444444,0.0
55,-0.3194444444444444,0.0
56,-0.5694444444444444,0.0
57,-1.0,-1.0
58,17.666666666666668,88.75
59,-1.0,-1.0
60,-0.06944444444444445,0.8888888888888888
61,-1.0,-1.0
62,1.3333333333333333,5.0
63,0.8472222222222222,6.0
64,-1.0,151.875
65,2.611111111111111,4.0
66,-0.4027777777777778,0.0
67,2.7777777777777777,3.0
68,0.5972222222222222,4.0
71,-0.20833333333333334,2.0
73,0.5138888888888888,1.0
74,-1.0,9.291666666666666
75,-1.0,8.444444444444445
